id,ingredient,degree,sugar,base_spirit,glass_id,color_id,occasion_id
120,"얼음|480 ml,앱솔루트 보드카|20 ml,완두콩과 슬픈 허브 시럽|20 ml,토마티요 주스|7.5 ml,시트러스 껍질 올리브 브라인|고수 가루",36,0,vodka,7,6,3
121,"얼음|480 ml,앱솔루트 보드카|22.5 ml,레몬 주스|22.5 ml,패션프루트 퓨레|소다수|1 개,패션 프루트",36,0,vodka,4,3,14
122,"얼음|255.0 ml,앱솔루트 보드카|630 ml,로렘 입숨|10 ml,알로에 베라 주스|10 ml,레몬 주스|1 웨지,아보카도|5 ml,스테비아|1 슬라이스,오이",11,0,vodka,7,6,22
123,"얼음|330 ml,앱솔루트 시트론|20 ml,석류 주스|10 ml,트리플 섹|0.94 ml,라임 주스|1 개,오렌지 껍질",37,1,vodka,7,7,4
124,"얼음|15 ml,앱솔루트 보드카|150 ml,맥주|330 ml,라임 주스|10 ml,핫 소스|5 ml,우스터 소스|1 꼬집,소금|2 웨지,라임",1,4,vodka,4,6,22
125,"얼음|480 ml,앱솔루트 보드카|7.5 ml,드라이 버무스|1 개,그린 올리브",39,0,vodka,7,5,14
126,"얼음|22.5 ml,앱솔루트 보드카|22.5 ml,릴레 로제|22.5 ml,라임 주스|22.5 ml,슈가시럽|240 ml,크랜베리|소다수|1 개,어린 가지 로즈마리",2,3,vodka,2,1,9
127,"얼음|480 ml,앱솔루트 보드카|60 ml,파인애플 주스|10 ml,레몬 주스|10 ml,슈가시럽|소다수",34,2,vodka,2,3,15
128,"얼음|330 ml,앱솔루트 라즈베리|20 ml,레몬 주스|10 ml,슈가시럽|10 ml,블랙 라즈베리 리큐어|소다수|5 개,라즈베리",34,2,vodka,4,1,14
129,"얼음|480 ml,앱솔루트 페어|150 ml,사이다|1 슬라이스,레몬",30,2,vodka,4,5,15
130,"얼음|330 ml,앱솔루트 맨드린|150 ml,소다수|15 ml,라임 주스|1 슬라이스,오렌지",26,3,vodka,2,5,22
131,"얼음|480 ml,앱솔루트 보드카|570 ml,토마토 주스|7.5 ml,레몬 주스|1 꼬집,블랙페퍼 가루|1 꼬집,소금|레몬",18,4,vodka,4,1,22
132,"얼음|480 ml,앱솔루트 주스 스트로베리|30 ml,레몬에이드|15 ml,크랜베리 주스|1 방울,소다수|1 개,레몬",32,1,vodka,3,1,4
133,"얼음|30 ml,앱솔루트 주스 페어 & 엘더플라워|30 ml,소다수|30 ml,스파클링 와인|4 슬라이스,배",15,8,vodka,3,3,22
134,"얼음|60 ml,앱솔루트 주스 애플|22.5 ml,레몬 주스|15 ml,슈가시럽|소다수",21,7,vodka,3,3,18
135,"얼음|30 ml,앱솔루트 라임|15 ml,칼바도스|15 ml,라마조티|1 개,라임",23,6,vodka,7,2,22
136,"얼음|480 ml,앱솔루트 망고|150 ml,오렌지 주스|1 웨지,망고",29,2,vodka,4,3,14
137,"얼음|480 ml,앱솔루트 보드카|570 ml,오렌지 주스|오렌지",18,4,vodka,4,9,22
138,"얼음|480 ml,앱솔루트 보드카|630 ml,네들 티|22.5 ml,라임 주스|20 ml,네들 코디얼|소다수|1 잎,어린 가지 민트",16,0,vodka,4,3,22
139,"얼음|480 ml,앱솔루트 보드카|60 ml,크랜베리 주스|330 ml,파인애플 주스|10 ml,패션 프루트 리큐어|라임",22,5,vodka,4,1,14
140,"얼음|330 ml,앱솔루트 보드카|10 ml,멜론 리큐어|10 ml,슈가시럽|1 웨지,멜론",38,2,vodka,7,3,14
141,"얼음|30 ml,앱솔루트 보드카|30 ml,드라이 버무스|30 ml,레몬 주스|토닉 워터|1 웨지,그레이프프루트",19,0,vodka,4,3,14
142,"얼음|480 ml,앱솔루트 보드카|15 ml,블루 큐라소|0.94 ml,파스티스",39,1,vodka,7,8,14
143,"얼음|22.5 ml,앱솔루트 그레이프프루트|소다수|2 웨지,그레이프프루트",40,0,vodka,4,5,22
144,"얼음|22.5 ml,앱솔루트 라즈베리|15 ml,레몬 주스|7.5 ml,슈가시럽|3 개,라즈베리",19,8,vodka,8,6,22
145,"얼음|20 ml,앱솔루트 보드카|20 ml,아페롤|20 ml,크랜베리 주스|7.5 ml,레몬첼로|7.5 ml,레몬 주스|3 개,크랜베리",16,8,vodka,2,1,14
146,"얼음|330 ml,앱솔루트 라즈베리|150 ml,소다수|15 ml,라임 주스|1 슬라이스,라임|3 개,라즈베리",25,3,vodka,2,5,22
147,"480 ml,앱솔루트 보드카|15 ml,슈가시럽|4 개,딸기",38,1,vodka,7,1,4
148,"얼음|480 ml,앱솔루트 보드카|0.94 ml,드라이 버무스|1 개,그린 올리브",40,0,vodka,7,5,14
149,"얼음|480 ml,앱솔루트 보드카|570 ml,사이다|라임",18,4,vodka,4,5,22
150,"얼음|480 ml,앱솔루트 맨드린|30 ml,복숭아 퓌레|0.94 ml,라임 주스|1 웨지,복숭아",37,0,vodka,2,1,14
151,"얼음|22.5 ml,앱솔루트 맨드린|510 ml,오렌지 주스|22.5 ml,트리플 섹|1 슬라이스,오렌지",3,9,vodka,2,3,22
152,"얼음|480 ml,앱솔루트 페어|15 ml,라임 주스|진저비어|3 슬라이스,배",38,0,vodka,5,3,14
153,"얼음|20 ml,앱솔루트 어피치|10 ml,샹보르|10 ml,크림|10 ml,복숭아 리큐어",23,6,vodka,7,7,14
154,"얼음|22.5 ml,앱솔루트 보드카|510 ml,라이트 오렌지 주스|510 ml,크랜베리 주스|22.5 ml,복숭아 리큐어|1 웨지,라임",1,6,vodka,4,9,14
155,"얼음|480 ml,앱솔루트 시트론|120 ml,크랜베리 주스|22.5 ml,트리플 섹|7.5 ml,슈가시럽|오렌지",31,4,vodka,4,1,22
156,"얼음|480 ml,앱솔루트 워터멜론|20 ml,슈가시럽|4 조각,수박",36,2,vodka,7,1,22
157,"얼음|480 ml,앱솔루트 보드카|90 ml,핑크 그레이프프루트 주스|0.94 ml,릴렛 블랑|0.94 ml,레몬 주스|1 꼬집,정제된 설탕",33,0,vodka,7,7,13
158,"얼음|30 ml,앱솔루트 보드카|30 ml,레몬 주스|15 ml,레몬첼로|15 ml,슈가시럽|2 잎,바질|토닉 워터",17,9,vodka,4,3,14
159,"얼음|480 ml,앱솔루트 보드카|22.5 ml,망고 퓌레|22.5 ml,자몽주스|20 ml,트리플 섹|1 웨지,망고",36,2,vodka,7,3,14
160,"얼음|480 ml,앱솔루트 시트론|30 ml,화이트 크랜베리 주스|10 ml,블루 큐라소|10 ml,라임 주스|1 개,레몬 껍질",36,0,vodka,7,8,14
161,"얼음|22.5 ml,앱솔루트 페퍼|15 ml,레몬 주스|7.5 ml,슈가시럽|1 웨지,레몬",19,8,vodka,8,6,22
162,"얼음|60 ml,앱솔루트 주스 애플|90 ml,진저엘|30 ml,오렌지 주스|1 웨지,라임",11,3,vodka,4,2,18
163,"얼음|480 ml,앱솔루트 망고|30 ml,레몬 주스|20 ml,슈가시럽|1 개,계란 흰자|1 웨지,망고",34,1,vodka,2,3,15
164,"얼음|22.5 ml,앱솔루트 라임|15 ml,레몬 주스|7.5 ml,슈가시럽|1 웨지,라임",20,8,vodka,8,6,22
165,"얼음|잘게 부순 얼음|330 ml,앱솔루트 보드카|30 ml,레몬 주스|20 ml,슈가시럽|10 ml,블랙 커런트 리큐어|샴페인",34,3,vodka|champagne,3,2,14
166,"480 ml,앱솔루트 보드카|150 ml,소다수|레몬",30,2,vodka,2,5,14
167,"480 ml,앱솔루트 보드카|20 ml,슈가시럽|4 조각,수박",38,2,vodka,7,1,22
168,"얼음|30 ml,앱솔루트 보드카|진저비어|5 개,블루베리|1 개,딸기",40,0,vodka,5,2,22
169,"얼음|60 ml,앱솔루트 워터멜론|120 ml,레몬에이드|1 개,나선형 오이|1 잎,어린 가지 민트",12,8,vodka,4,5,22
170,"330 ml,앱솔루트 보드카|630 ml,파인애플 주스|1 웨지,파인애플",13,8,vodka,7,3,15
171,"얼음|480 ml,앱솔루트 보드카|150 ml,애플 주스|22.5 ml,블루 큐라소|1 슬라이스,레몬",30,3,vodka,4,8,15
172,"잘게 부순 얼음|480 ml,앱솔루트 보드카|20 ml,꿀|20 ml,레몬 주스|샴페인",36,3,vodka|champagne,4,3,14
173,"얼음|480 ml,앱솔루트 라임|20 ml,라임 주스|15 ml,아가베 넥타|소금",37,0,vodka,2,6,19
174,"얼음|20 ml,앱솔루트 보드카|20 ml,사과즙|20 ml,신선한 애플 주스|10 ml,계피 슈납스 리큐어|10 ml,레몬 주스|10 ml,슈가시럽",11,10,vodka,7,3,14
175,"얼음|30 ml,앱솔루트 보드카|480 ml,크림 리큐어|30 ml,깔루아",20,18,vodka,2,2,22
176,"얼음|480 ml,앱솔루트 엘릭스|10 ml,릴렛 블랑|1 개,레몬 껍질",41,0,vodka,7,5,4
177,"얼음|480 ml,앱솔루트 큐란트|90 ml,애플 주스|480 ml,석류 주스|3 개,블루베리",18,0,vodka,4,1,14
178,"얼음|22.5 ml,앱솔루트 바니리아|22.5 ml,다크 카카오 리큐어|22.5 ml,크림|너트맥",21,1,vodka,7,4,13
